	lemma	stavek1	stavek2	oznaka (label)	stavek_1_pomen	stavek_2_pomen	found_lemma
0	agresiven	Gledano z očmi Evropejca je prav zadek videti skladnejši, sodobnejši (tudi zaradi oblike zadnjih luči) in <target> agresivnejši </target> zaradi dobro vidnih dveh izpušnih cevi.	Pa tudi vahabitska fanatična struja je resnično <target> agresivna </target> v bosni proti mehkim sunitom.	F	5	6	True
1	agresiven	Chorinsky bi bil jugoslovanskim varnostnim organom znan po svojem <target> agresivnem </target> zbiranju obveščevalnih podatkov, med pogovori o političnih temah je jugoslovanske sogovornike najpogosteje spraševal, kaj bo z Jugoslavijo po Titu , rad pa je omenjal tudi mednacionalna trenja in razpravljal o konceptu SLO, ki naj bi ga odobraval, ker da naj bi republike dobile s TO svojo vojsko; teritorialne enote naj bi bile tudi neke vrste protiutež armadi.	POZNANA JE NJEGOVA ŠTUDIJA S ŠTIRILETNIMI OTROKI, KI JIM JE PREDVAJAL FILME, V KATERIH JE <target> AGRESIVNEMU </target> VEDENJU ODRASLEGA SLEDILO TROJE RAZLIČNIH POSLEDIC.	T	6	6	True
2	agresiven	Bolnik dejansko že umira, pa ga še vodijo od ene preiskave do druge, ga vzdržujejo z <target> agresivno </target> terapijo, ki ga še bolj slabi, ni pa nobenega upanja več, da bi se stanje izboljšalo.	Rdeča: Spodbuja delovanje hormonskega sistema, pomaga premagovati <target> agresivna </target> čustva, obnavlja energijo, uravnoveša delovanje prve čakre, pomaga pri stresu, pri različnih strahovih.	F	2	4	True
3	agresiven	Otrok, ki je do drugih otrok <target> agresiven </target>, do vas pa osoren	Si še vedno ne upaš 'preklopiti' od <target> agresivnih </target> (za tvojo kožo in mater Zemljo) in z vonjavami prepojenih pralnih praškov in mehčalcev?	F	4	3	True
4	agresiven	Toda pri drugih formulacijah, ki besednjak črpajo iz psihoanalize, se zdi, da je »Zahod« utrpel nekaj, kar spominja na tesnobo jaza, kjer egu uspe vzpostaviti lastno trdnost le skozi <target> agresivno </target> objektivizacijo Drugega, tako da je to, čemur Said pravi »orientalizem«, prisilni nagon, ki je inherenten enotni psihi Evrope.	Bila je zmožna poustvariti različna razpoloženja, od liričnih do <target> agresivnih </target>, ki so nemalokrat prehajala v grotesko.	F	6	4	True
5	agresiven	Niso vse ženske enako čustvene, intuitivne in komunikativne, tako kot tudi niso vsi moški enako razumski, <target> agresivni </target> in praktični.	Že moj start je bil <target> agresiven </target>, tudi plavanje sem pospešila in ti si na obali takoj vedela, da nameravam nekaj, kar se ne bo dobro končalo.	F	4	1	True
6	agresiven	Jones se je prejkone zmotil Ȕ tisto “nekaj”, kar nasprotuje seksualnim gonom, je že prevladalo, si je že podredilo nasprotje, v katerem se pojavlja, ga že obvladuje; gon smrti, ki grozi z razpadom in izničenjem ter tako povzroča tesnobo (“preganjalno” ali “depresivno”), je dosti trdnejši koncept kot seksualni gon Gon smrti po M. K. grozi subjektu na dveh ravneh, kot nekaj, kar “od znotraj” napada njegov organizem, in kot nekaj, kar sproža njegove <target> agresivne </target> vzgibe.	Znašel se je med histeričnimi in <target> agresivnimi </target> kriminalci, prez upanja in prihodnosti, kot je v predgovoru k slovenski izdaji zapisal avtor.	T	4	4	True
7	aktiven	Verjetno zato, ker je zvezek, s katerim je računsko povezan trenutno <target> aktivni </target> zvezek, odprt.	S kakovostnim delom pri projektih, izpolnjevanjem obveznosti in pristnim odnosom, ostanejo vsi stiki tudi po zaključku projekta <target> aktivni </target> in omogočajo nadaljnje gospodarsko sodelovanje z nekdanjimi projektnimi partnerji.	T	6	6	True
8	aktiven	Naj gre v zasluženo penzijo, mi je žal, samo zadnje čase ni kaj dosti <target> aktiven </target> na glasbeni sceni, bolj so ga mikale nove babe in pomp okoli njega.	Imagi so <target> aktivni </target> podnevi in se hranijo s pelodom na cvetovih grmovnic in travniških zeli.	F	10	11	True
9	aktiven	To je ključen poudarek, saj odpira možnosti <target> aktivnega </target> pristopa že v fazi t. i. »usvajanja« vsebinskih znanj.	Predavanja povezovati z <target> aktivnim </target> samoizobraževanjem (seminarske vaje) in z drugimi aktivnimi metodami učenja (diskusija, analiza, iniciativa..)	T	5	5	True
10	aktiven	Če želimo, da je posameznik <target> aktivnejši </target>, bolj samostojen pri odločanju, če želimo, da prevzema odgovornost za svoje odločitve, potem mu je treba zagotoviti ustrezne pogoje .	Zato postani <target> aktivna </target>, delaj trebušnjake, počepe, aerobiko, igraj odbojko - kar ti je pač pri srcu.	F	4	6	True
11	aktiven	• sreda, 2. marca, ob 9.30 v kongresnem centru hotela Habakuk v Mariboru: državni sekretar dr. Igor Jakomin bo nagovoril udeležence logističnega foruma z naslovom Razvojno-raziskovalne prioritete Slovenije na področju transporta, ki ga v okviru projekta CASTLE in v sodelovanju z Ministrstvom za promet prireja Univerza v Mariboru (Center za ekonomijo transporta) z namenom vzpostavitve <target> aktivnega </target> dialoga med gospodarstvom, politiko in razvojno raziskovalnimi organizacijami na področju transporta v Sloveniji	Med elemente <target> aktivne </target> varnosti štejemo tiste naprave, dele avtomobila in pripomočke, ki s svojim delovanjem preprečujejo oziroma manjšajo možnost nesreče.	F	7	4	True
12	aktiven	Pogodba z Razvojnim centrom (TSCT-1/2008)– Študij in pospeševanje <target> aktivnega </target> transporta proteinov skozi biološke membrane.	Odrasli so <target> aktivni </target> v juniju in juliju in imajo včasih drugo generacijo jeseni.	F	8	1	True
13	aktiven	Med vlagateljem in naročnikom je v zadevi spor glede upravičenosti naročnikovega zavrženja vlagateljevega revizijskega zahtevka z dne 17.1.2011, in sicer iz razloga domnevnega neobstoja <target> aktivne </target> legitimacije vlagatelja za njegovo vložitev.	Gre za prepovedano drogo psilocibin, <target> aktivno </target> substanco v gobi, ki jo določene skupine že stoletja uporabljajo pri svojih verskih obredih.	F	opomba: ni ustreznega pomena v Elexisu	4	True
14	igrati	p.s.v kratkem se bo začelo SP divizije A,vsi igralci ki bodo v tem času <target> igrali </target> play off v NHL,se ne bodo udeležili SP.....verjemi mi!!!!	Najbolj ironična pa je izjava Mourinha po tekmi: <target> Igrali </target> smo proti golmanu in desetim branilcem.	T	2	2	True
15	igrati	Čustveni izsiljevalci ne marajo izgubljati – pregovor »pomembno je sodelovati, ne zmagati,« se pri njih spremeni v »pomembna je le zmaga« – ne glede na to, kako <target> igraš </target>«.	Gre za kratko, dinamično in razgibano postavitev znanih pastirčkovih zgodb, v kateri se trije mestni (ali vaški) otroci <target> igrajo </target> Kekca.	F	2	1	True
16	igrati	Če v tej veliki predstavi <target> igrajo </target> tudi semenčice, imajo zdaj možnost, da v fitnesu materničnega vratu preživijo nekaj dni.	Pohvalil se je, da je <target> igral </target> v Kreftovi igri Poročnik in Marjutka v nekem manjšem dunajskem teatru.	F	7	9	True
17	igrati	Merrin Dungey, ki <target> igra </target> Avino prijateljico Susannah, je znana iz kultne Abramsove serije Alias, najstniški zvezdnik Jesse McCartney (Avin nečak Bradin) je v času snemanja izdal svojo prvo pop zgoščenko, Ryan Kwanten (Avin prijatelj Ray) pa je star znanec ljubiteljev žajfastih nadaljevank.	Ne nazadnje marsikaterega starša veliko bolj skrbi, ali se bo imel njegov otrok popoldan kje <target> igrati </target>, torej ali so v bližini ustrezno urejena in čista otroška igrišča, kot številne novice iz sveta.	F	9	1	True
18	igrati	Angleški nogometni reprezentant David Beckham, ki je odlično <target> igral </target> za AC Milan, se je vendarle znašel na spisku kluba za pokal UEFA.	Kot drugo glasbilo sem <target> igral </target> klavir in takrat sem moral biti priden, zdaj pa to ni več potrebno.	F	2	8	True
19	igrati	Raje trenirajte in ne <target> igrat </target> 500 pripravljalnih tekm,ker na njih ne boste odkrili tople vode!	Kakšno vlogo bi po vašem mnenju moral v prihodnje <target> igrati </target> Kučan? se je glasilo vprašanje Slovenskega utripa.	F	2	7	True
20	igrati	adam je zelo luskan in zato moram iti gledat ta film adam <target> igra </target> tidi pri o.c.california in zato mi je postal vses	Sebastijan, ki ta čas <target> igra </target> v Celju, ima namreč že mesec dni dekle, ki je nekaj mlajše od njega, a njenega imena še noče razkriti.	F	9	2	True
21	imeti	»V čaj sem vlil malo ruma, če <target> nimaš </target> nič proti,« se je nasmehnil, ko je predme postavil lično skodelico.	Vlagatelj navaja, da naročnik <target> nima </target> predpisanega operacijskega sistema, ki bi v tehničnem smislu onemogočal uporabo NET platforme.	F	12	4	True
22	imeti	in potem se čudite, da <target> imamo </target> hildo, zidarja in podobne barabe...	Pod vsako fotografijo je bilo napisano ime pokojnika, njegova starost, poklic, če ga je <target> imel </target>, vzrok smrti.	F	1	11	True
23	imeti	ponudnikov bo malo morje.imajo pa vglavnem vsi dolgoročne pogodbe,kar je pri igralcih plus,pri rafi pa minus,saj klub <target> nima </target> denarja za odškodnino.sploh pa je vprašanje,kdo ga lahko nadomesti	Tudi Inoks <target> ima </target> svoj oddelek za raziskave in razvoj, saj se podjetje usmerja v razvoj celostnih tehnoloških rešitev od ideje do izvedbe.	F	5	1	True
24	imeti	Jezna, štiri mesece noseča Liz je odgovorila, da ni vlačuga, pa tudi, da <target> ima </target> novega moškega, njegovega imena pa noče izdati.	Po diplomi na akademiji za likovno umetnost na oddelku za slikarstvo je nadaljeval podiplomski študij grafike. za sabo <target> ima </target> številne samostojne razstave, tudi na našem območju. nazadnje so njegova dela nagovarjala na 7. bienalu slovenske grafike, ki je lani kot ponovno obujeni projekt zaživel v dolenjski prestolnici.	F	9	11	True
25	imeti	Povejte mi vi kot ekonomist, kako si razlagate to, da bi po desetih letih sanacije, če sem prav razumel, <target> imeli </target> negativen kapital.	Tako naj bi <target> imeli </target> dovolj časa za forenzično preiskavo in odstranitev trupla.	F	12	2	True
26	imeti	Tovornjakarjev ni bilo, ker so <target> imeli </target> zaporo-kdo je pa zdaj kriv????	54.glej,glede dzamije,ce ces mi pisi na protibalijam@gmail.com, pa ti bom navedel kaj literature,da bos <target> imel </target> vec informacij za kriticno presojo vprasanja.	F	1	2	True
27	imeti	Ker so zvesti in <target> imajo </target> radi otroke, si raki življenjskega sopotnika pogosto izberejo med njimi.	Posredniška demokracija, kakršno poznamo in <target> imamo </target>, je torej tudi velik posel, posamezne stranke pa delniške družbe, katerih realna uspešnost je povezana tudi s tekočo likvidnostjo njihovih blagajn, izpraznjenih zaradi zadnjih volitev in predvolilne kampanje.	F	3	2	True
28	velik	Trenutno se pogajajo z <target> velikimi </target> glasbenimi založbami, kajti od njih bo odvisno, kakšnega mačka v žaklju je Roxio pravzaprav kupil.	Kuža ga je v moje <target> veliko </target> presenečenje ubogal, kot bi bila že stara prijatelja.	F	5	6	True
