lemma,stavek1,stavek2,oznaka (label),stavek_1_pomen,stavek_2_pomen;;;;;;;;
"agresiven,""Gledano z očmi Evropejca je prav zadek videti skladnejši, sodobnejši (tudi zaradi oblike zadnjih luči) in agresivnejši zaradi dobro vidnih dveh izpušnih cevi."",Pa tudi vahabitska fanatična struja je resnično agresivna v bosni proti mehkim sunitom.,F,5,6";;;;;;;;
"agresiven,""Chorinsky bi bil jugoslovanskim varnostnim organom znan po svojem agresivnem zbiranju obveščevalnih podatkov, med pogovori o političnih temah je jugoslovanske sogovornike najpogosteje spraševal, kaj bo z Jugoslavijo po Titu , rad pa je omenjal tudi mednacionalna trenja in razpravljal o konceptu SLO, ki naj bi ga odobraval, ker da naj bi republike dobile s TO svojo vojsko";" teritorialne enote naj bi bile tudi neke vrste protiutež armadi."",""POZNANA JE NJEGOVA ŠTUDIJA S ŠTIRILETNIMI OTROKI, KI JIM JE PREDVAJAL FILME, V KATERIH JE AGRESIVNEMU VEDENJU ODRASLEGA SLEDILO TROJE RAZLIČNIH POSLEDIC."",T,6,6";;;;;;;
"agresiven,""Bolnik dejansko že umira, pa ga še vodijo od ene preiskave do druge, ga vzdržujejo z agresivno terapijo, ki ga še bolj slabi, ni pa nobenega upanja več, da bi se stanje izboljšalo."",""Rdeča: Spodbuja delovanje hormonskega sistema, pomaga premagovati agresivna čustva, obnavlja energijo, uravnoveša delovanje prve čakre, pomaga pri stresu, pri različnih strahovih."",F,2,4";;;;;;;;
"agresiven,""Otrok, ki je do drugih otrok agresiven, do vas pa osoren"",Si še vedno ne upaš 'preklopiti' od agresivnih (za tvojo kožo in mater Zemljo) in z vonjavami prepojenih pralnih praškov in mehčalcev?,F,4,3";;;;;;;;
"agresiven,""Toda pri drugih formulacijah, ki besednjak črpajo iz psihoanalize, se zdi, da je »Zahod« utrpel nekaj, kar spominja na tesnobo jaza, kjer egu uspe vzpostaviti lastno trdnost le skozi agresivno objektivizacijo Drugega, tako da je to, čemur Said pravi »orientalizem«, prisilni nagon, ki je inherenten enotni psihi Evrope."",""Bila je zmožna poustvariti različna razpoloženja, od liričnih do agresivnih, ki so nemalokrat prehajala v grotesko."",F,6,4";;;;;;;;
"agresiven,""Niso vse ženske enako čustvene, intuitivne in komunikativne, tako kot tudi niso vsi moški enako razumski, agresivni in praktični."",""Že moj start je bil agresiven, tudi plavanje sem pospešila in ti si na obali takoj vedela, da nameravam nekaj, kar se ne bo dobro končalo."",F,4,1";;;;;;;;
"agresiven,""Jones se je prejkone zmotil Ȕ tisto “nekaj”, kar nasprotuje seksualnim gonom, je že prevladalo, si je že podredilo nasprotje, v katerem se pojavlja, ga že obvladuje";" gon smrti, ki grozi z razpadom in izničenjem ter tako povzroča tesnobo (“preganjalno” ali “depresivno”), je dosti trdnejši koncept kot seksualni gon Gon smrti po M. K. grozi subjektu na dveh ravneh, kot nekaj, kar “od znotraj” napada njegov organizem, in kot nekaj, kar sproža njegove agresivne vzgibe."",""Znašel se je med histeričnimi in agresivnimi kriminalci, prez upanja in prihodnosti, kot je v predgovoru k slovenski izdaji zapisal avtor."",T,4,4";;;;;;;
"aktiven,""Verjetno zato, ker je zvezek, s katerim je računsko povezan trenutno aktivni zvezek, odprt."",""S kakovostnim delom pri projektih, izpolnjevanjem obveznosti in pristnim odnosom, ostanejo vsi stiki tudi po zaključku projekta aktivni in omogočajo nadaljnje gospodarsko sodelovanje z nekdanjimi projektnimi partnerji."",T,6,6";;;;;;;;
"aktiven,""Naj gre v zasluženo penzijo, mi je žal, samo zadnje čase ni kaj dosti aktiven na glasbeni sceni, bolj so ga mikale nove babe in pomp okoli njega."",Imagi so aktivni podnevi in se hranijo s pelodom na cvetovih grmovnic in travniških zeli.,F,10,11";;;;;;;;
"aktiven,""To je ključen poudarek, saj odpira možnosti aktivnega pristopa že v fazi t. i. »usvajanja« vsebinskih znanj."",""Predavanja povezovati z aktivnim samoizobraževanjem (seminarske vaje) in z drugimi aktivnimi metodami učenja (diskusija, analiza, iniciativa..)"",T,5,5";;;;;;;;
